"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0997002C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,44,42,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,38.18,34.95,"$15,001 TO $20,000",17500.5,1,0,43.45,-0.726385634761011
"0997004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.105,-0.350127700864888
"0997006C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.728,-1.41837081441894
"0997008C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,46,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,38.698,-1.21557242049956
"0997009C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,34,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,NA,"$20,001 TO $25,000",22500.5,0,0,39.939,-1.08781972666506
"0997011C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,39,46,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,33.42,35.63,"$10,001 TO $15,000",12500.5,1,0,35.89,-1.50463733934506
"0997015C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,23,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$25,001 TO $30,000",27500.5,0,1,39.684,-1.1140702801927
"0997022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,NA,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.78,"$10,001 TO $15,000",12500.5,1,0,40.788,-1.0004208249201
"0997024C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,3,29,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,000 TO $5,000",5000,1,1,50.772,0.0273655531972423
"0999007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,35.78,59,"$100,001 TO $200,000",150000.5,0,0,62.904,1.27627424102974
"1000001C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.825,-0.0701217965700977
"1000002C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,36,40,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,50.689,0.0188212553823647
"1000003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,34.95,64.89,"$100,001 TO $200,000",150000.5,0,0,61.222,1.10312353109451
"1000004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,68.901,1.89362549399145
"1000005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,46,42,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,59.055,0.880045297783178
"1000006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,38,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,61.56,35.78,"$75,001 TO $100,000",87500.5,0,0,58.443,0.81704396931685
"1000007C",0,"WHITE, NON-HISPANIC",1,0,0,0,3,43,41,"BACHELOR'S DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,63.43,59,"$100,001 TO $200,000",150000.5,0,0,64.604,1.45127793121398
"1000008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$100,001 TO $200,000",150000.5,0,0,59.171,0.891986726054573
"1000009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,52.54,53.5,"$100,001 TO $200,000",150000.5,0,0,52.416,0.196604415940123
"1000010C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,43,44,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,53.5,"$100,001 TO $200,000",150000.5,0,0,44.08,-0.661531326045675
"1000011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,62.87,"$75,001 TO $100,000",87500.5,0,0,55.815,0.546508852961443
"1000012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$100,001 TO $200,000",150000.5,0,0,52.648,0.220487272482914
"1000014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,40,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,64.89,"$75,001 TO $100,000",87500.5,0,0,69.122,1.9163759737154
"1000018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,46,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,48.957,-0.159476621911229
"1000019C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,39,39,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,62.724,1.25774443853964
"1000022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,77.5,77.5,"$200,001 TO $200,001",200001,0,0,58.247,0.796867073272079
"1000023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,61.56,77.5,"$75,001 TO $100,000",87500.5,0,0,61.94,1.17703685436056
"1000024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,53,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,35.92,"$50,001 TO $75,000",62500.5,0,0,51.959,0.149559306284712
"1000025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$100,001 TO $200,000",150000.5,0,0,61.235,1.10446179460768
"1000026C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,62.87,"$75,001 TO $100,000",87500.5,0,0,52.36,0.190839588498759
"1001002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,64.89,"$100,001 TO $200,000",150000.5,0,0,64.063,1.39558558039653
"1001003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,40,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,53.5,"$100,001 TO $200,000",150000.5,0,0,50.833,0.0336450973744417
"1001005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,41,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,61.56,64.89,"$100,001 TO $200,000",150000.5,0,0,55.583,0.522625996418652
"1001006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,59,"$50,001 TO $75,000",62500.5,0,0,41.687,-0.907874755816789
"1001007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"MASTER'S DEGREE (MA, MS)","DOCTORATE OR PROFESSIONAL DEGREE",0,0,77.5,64.89,"$100,001 TO $200,000",150000.5,0,0,61.506,1.13235944168999
"1001008C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.354,-0.427438154587457
"1001009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,77.5,53.5,"$100,001 TO $200,000",150000.5,0,0,69.875,1.99389231413231
"1001011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,49,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,64.89,"$100,001 TO $200,000",150000.5,0,0,57.421,0.71183586851197
"1001012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,52.54,39.18,"$75,001 TO $100,000",87500.5,0,0,60.404,1.01891587311173
"1001013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,59,35.78,"$100,001 TO $200,000",150000.5,0,0,71.553,2.16663125067887
"1001014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,35.78,"$100,001 TO $200,000",150000.5,0,0,47.28,-0.332112615110627
"1001015C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.059,0.777513724004644
"1001017C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,39.2,"$100,001 TO $200,000",150000.5,0,0,66.79,1.67631208812149
"1001019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,46,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,55.725,0.537243951716395
"1001020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,46,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,38.18,64.89,"$50,001 TO $75,000",62500.5,0,0,65.949,1.58973673315387
"1001021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$200,001 TO $200,001",200001,0,0,65.148,1.50727911207294
"1001022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,45,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,71.741,2.1859845999463
"1001024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,NA,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,63.43,64.89,"$100,001 TO $200,000",150000.5,0,0,64.355,1.42564503776935
"1002001C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$10,001 TO $15,000",12500.5,1,1,44.13,-0.656384158687314
"1002003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.78,NA,"$30,001 TO $35,000",32500.5,0,0,52.917,0.248179032870891
"1002004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,40,NA,"NOT APPLICABLE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",NA,0,52.54,NA,"$100,001 TO $200,000",150000.5,0,0,49.934,-0.0589009717288732
"1002005C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,27,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,53.5,NA,"$40,001 TO $50,000",45000.5,0,0,52.345,0.189295438291251
"1002006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,48,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,64.89,"$75,001 TO $100,000",87500.5,0,0,52.153,0.169530315635149
"1002008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,28,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,37.67,"$75,001 TO $100,000",87500.5,0,0,42.53,-0.821093514154838
"1002009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,53.5,NA,"$35,001 TO $40,000",37500.5,0,0,58.977,0.872015716704136
"1002010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,49,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,63.43,35.78,"$40,001 TO $50,000",45000.5,0,0,52.172,0.171486239231325
"1002011C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,36,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$15,001 TO $20,000",17500.5,1,0,60.529,1.03178379150763
"1002012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,36,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,72.1,72.1,"$40,001 TO $50,000",45000.5,0,0,74.402,2.45991684675823
"1002015C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,32,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,43.784,-0.692002556807166
"1002016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$35,001 TO $40,000",37500.5,0,0,50.455,-0.00526748785476076
"1002017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,53.5,"$100,001 TO $200,000",150000.5,0,0,48.647,-0.191389059533062
"1002019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,64.89,"$100,001 TO $200,000",150000.5,0,0,53.109,0.267944155526994
"1002022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,35,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,62.87,"$100,001 TO $200,000",150000.5,0,0,46.901,-0.371128143686997
"1002023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,52.003,0.154088813560068
"1002024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,34,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,48.69,"$75,001 TO $100,000",87500.5,0,0,57.893,0.760425128374889
"1003001C",0,"ASIAN",0,0,0,1,1,38,42,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,72.1,53.5,"$100,001 TO $200,000",150000.5,0,0,67.879,1.78841739318657
"1003004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,30,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,61.56,53.5,"$50,001 TO $75,000",62500.5,0,0,57.659,0.736336385137764
"1003006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,47.372,-0.322641827171245
"1003007C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,31,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.18,"$40,001 TO $50,000",45000.5,0,0,35.858,-1.50793152645441
"1003008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,48,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,52.54,52.54,"$50,001 TO $75,000",62500.5,0,0,61.771,1.1596394286893
"1003009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,40,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,60.239,1.00193022082915
"1003011C",0,"ASIAN",0,0,0,1,1,40,41,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,55.356,0.499257856611697
"1003013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,35.92,"$50,001 TO $75,000",62500.5,0,0,49.775,-0.0752689639284582
"1003014C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,47,55,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,39.18,"$40,001 TO $50,000",45000.5,0,0,63.871,1.37582045774042
"1003015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,59,37.67,"$75,001 TO $100,000",87500.5,0,0,48.415,-0.215271916075853
"1003016C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,2,34,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,48.69,39.18,"$50,001 TO $75,000",62500.5,0,0,63.081,1.29449521347833
"1003018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,40,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,34.95,63.43,"$25,001 TO $30,000",27500.5,0,0,58.437,0.816426309233847
"1003019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,33,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,61.56,35.78,"$50,001 TO $75,000",62500.5,0,0,66.402,1.63637006942061
"1003020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,62.582,1.2431264832419
"1003021C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,37.67,35.63,"$35,001 TO $40,000",37500.5,0,0,48.371,-0.21980142335121
"1003022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,30,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,39.2,"$40,001 TO $50,000",45000.5,0,0,49.231,-0.131270144787416
"1003023C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.143,-0.757989242341343
"1003024C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.37,-1.4552245327048
"1004001C",0,"ASIAN",0,0,0,1,1,40,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,43.997,-0.670075623860552
"1004006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,46,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,29.6,39.18,"$35,001 TO $40,000",37500.5,0,0,57.555,0.725630277032375
"1004009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,34,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.78,"$75,001 TO $100,000",87500.5,0,0,59.497,0.925546257231081
"1004011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,50.044,-0.047577203540481
"1004012C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.374,1.22171426703112
"1004013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,72.1,63.43,"$75,001 TO $100,000",87500.5,0,0,64.241,1.41390949619229
"1004014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,41,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,NA,48.69,"$35,001 TO $40,000",37500.5,0,0,63.742,1.36254076595585
"1004020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,46,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,62.87,"$75,001 TO $100,000",87500.5,0,0,57.747,0.745395399688478
"1004023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$50,001 TO $75,000",62500.5,0,0,42.626,-0.811210952826787
"1004024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"SOME COLLEGE","SOME COLLEGE",0,0,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,62.449,1.22943501806866
"1004025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,49.348,-0.119225773168853
"1006001C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,46,47,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,61.56,61.56,"$75,001 TO $100,000",87500.5,0,0,64.593,1.45014555439514
"1006002C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,47,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$75,001 TO $100,000",87500.5,0,0,53.063,0.263208761557303
"1006003C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.076,0.779263760906487
"1006005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,39,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,53.5,64.89,"$40,001 TO $50,000",45000.5,0,0,51.227,0.0742047761583191
"1006007C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,59,35.78,"$50,001 TO $75,000",62500.5,0,1,52.685,0.2242961763281
"1006008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,49.802,-0.0724894935549436
"1006010C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,35.78,35.92,"$40,001 TO $50,000",45000.5,0,0,50.735,0.023556649352056
"1006011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,59,53.5,"$50,001 TO $75,000",62500.5,0,0,45.482,-0.517204753317257
"1006012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,43,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,61.56,35.92,"$50,001 TO $75,000",62500.5,0,0,60.986,1.07882890116305
"1006013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,45.296,-0.536352215890357
"1006014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,35.92,"$100,001 TO $200,000",150000.5,0,0,61.034,1.08377018182707
"1006016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,43,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,62.87,39.2,"$40,001 TO $50,000",45000.5,0,0,60.02,0.979385627799528
"1006017C",1,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,37,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,61.56,34.95,"$50,001 TO $75,000",62500.5,0,0,49.959,-0.0563273880496925
"1006018C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,72.1,NA,"$35,001 TO $40,000",37500.5,0,0,46.996,-0.361348525706113
"1006020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,47,54,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,35.78,59,"$200,001 TO $200,001",200001,0,0,68.129,1.81415322997837
"1006021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,29.6,33.42,"$75,001 TO $100,000",87500.5,0,0,50.163,-0.035326945227584
"1006022C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,41,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,47.887,-0.269626003380136
"1006023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,47,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,35.865,-1.50721092302424
"1008001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,0,53.251,0.282562110824736
"1008002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,35.63,"$40,001 TO $50,000",45000.5,0,0,49.012,-0.153814737817033
"1008003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,36,"SOME COLLEGE","SOME COLLEGE",0,0,72.1,39.18,"$50,001 TO $75,000",62500.5,0,0,56.457,0.612598481842787
"1008004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.63,"$100,001 TO $200,000",150000.5,0,0,52.683,0.224090289633766
"1008005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,42,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$50,001 TO $75,000",62500.5,0,0,58.433,0.816014535845178
"1008006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$5,000 TO $5,000",5000,1,1,35.418,-1.55322659920798
"1008007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,33.42,NA,"$15,001 TO $20,000",17500.5,1,1,59.91,0.968061859611136
"1008009C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,29,32,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,38.18,33.42,"$20,001 TO $25,000",22500.5,1,0,48.594,-0.196845056932924
